"","12 písmen a číslic","12 letters or digits"
"","Ano","Yes"
"","Dlouhá fráze","Long passphrase"
"","Doména","Domain"
"","Doména nebo jméno stránky","Domain or name of the page"
"Dotaz na smazání","Ano","Yes"
"Dotaz na smazání","Ne","No"
"","Heslo","Password"
"","Kapesní správce hesel","Pocket password manager"
"","Kontrolní kód","Check code"
"","Krátká fráze","Short passphrase"
"Lang","cs","en"
"","Nastala neznámá chyba","Unknown error"
"","Nastavení","Settings"
"","Ne","No"
"","Nová fráze","Random words"
"","OK","OK"
"","Odvodit klíč","Generate Key"
"","Opravdu si přejete smazat klíč?","Do you really wish to delete the key?"
"","Opravdu si přejete smazat všechny klíče a nastavení?","Do you really wish to delete all keys and settings"
"","PIN 4 číslice","PIN 4 numbers"
"","PIN 6 číslic","PIN 6 numbers"
"","PIN 8 číslic","PIN 8 numbers"
"","PIN Trezor One","PIN Trezor One"
"","Pojmenujte nově vytvořený klíč","Enter a name"
"","Pole nesmí být prázdné","This field should not be empty"
"","Poslední zadané","Recently used"
"","Použít jiný klíč","Use other keys"
"","Pozice","Position"
"","Pozor! Selhalo ověření domény. Zkontrolujte, zda jméno neobsahuje překlep","Domain check failed. Please check the name of the domain for typos"
"","Předchozí<br>heslo","Prev.<br>password"
"","Přeskočit","Skip"
"","Přidat hlavní klíč","Add key"
"","Silné heslo","Strong password"
"","Skenuj QR","Scan QR"
"","Správa klíčů","Manage keys"
"","Správce hesel","Password manager"
"","Správce klíčů","Manage keys"
"","Toto pole nesmí zůstat prázdné","Please enter the domain name"
"","Ukaž Heslo","Show"
"","Uložit","Save"
"","Vrátit","Restore"
"","Vítejte","Welcome"
"","Vše smazat","Delete All"
"","Zatím tu nic není","Nothing is here..."
"","Změna jazyka","Change language"
"","Zpět","Back"
"","example.com","example.com"
"","Čtečka QR","QR Reader"
"","Aplikace nepoužívá žádné úložiště v internetu. Je schopna plnohodnotně pracovat offline. Díky tomu jsou vaše hesla ještě víc zabezpečená, protože k nim nemá přístup žádná třetí osoba.","The application does not use any storage on the Internet. It is able to work fully offline. This makes your passwords even more secure because no third party has access to them."
"","Další &gt;&gt;","Next &gt;&gt;"
"","Další<br>heslo","Next<br>password"
"","Dodatečná tajná fráze doplňuje klíč a hesla se odvozují z kombinace klíče a fráze","The additional secret phrase adds a key and the passwords are derived from a combination of a key and a phrase"
"","Fotoaparát je zakázán. Prosím povolte použití fotoaparátu","The camera is disabled. Please allow the camera to be used"
"","Fotoaparát ve vašem zařízení zřejmě nefunguje","Your camera does not seem to work on your device"
"","Fráze je příliš krátká. Zkuste zadat aspoň 16 písmen","The phrase is too short. Try entering at least 16 letters"
"","Frázi a konrolní kód si zaznamenejte na papír a dobře uschovejte","Keep the passphrase and the check-code on a paper and keep it at secure place"
"","Funkce dodatečné tajné fráze dobře ochrání hesla i v případě, že útočník má přístup k vývojářským nástrojům","The secret passphrase will also protect passwords even if the attacker has access to the developer tools"
"","Jdeme na to","Here we go"
"","Jedno heslo vládne všem","One password rules for everyone"
"","Kontrolní kód je jiný","The control code is different"
"","Malá a velká písmena se rozlišují, diakritická znaménka se také rozlišují. Mezery mezi slovy se redukují na jednu mezeru, znak nové řádky se mění na mezeru","The passphrase is case sensitive. Spaces between words are reduced to one space, the new line character replaced by a single space"
"","Nastavení hlavní fráze","Set the main phrase"
"","Neomezené množství hesel","Unlimited number of passwords"
"","Obecně není potřeba zakládat další klíče. Tato funkce je užitečná pouze v případě, že dojde k vyzrazení hlavní fráze. Poté je třeba zvolit novou frázi a vygenerovat nový klíč. Starý klíč se použije pro umožňení přihlášení se na internetové stránky za účelem změny hesla","Generally, there is no need to create additional keys. This function is useful only when the main phrase is revealed. Then you need to choose a new phrase and generate a new key. The old key is used to sign in to a website to change your password"
"","Obnovení při ztrátě","Recovery at loss"
"","Offline přístup","Offline access"
"","Ok","Okay"
"","POZOR: PIN neochrání aplikaci pokud útočník dokáže použít vývojářské nástroje k jeho obejití","WARNING: The PIN does not protect an application if an attacker can use the development tools to bypass it"
